Date,Time,Bucket Empty,Model,Serial No.,Volume Emptied (pts),Run (Guest AH),Run (Out Temp),AH (In) - AH (Out) [G],Temp (In) [G],Temp (Out) [G],Temp (Epan) [G],Temp (Guest) [G],Temp (Front) [G],AH (Guest) [G],AH (Front) [G],AH (EPan) [G],Temp (WxStn) [G],AH (WxStn) [G],AH (In) - AH (Out) [O],Temp (In)  [O],Temp (Out)  [O],Temp (Epan)  [O],Temp (Guest)  [O],Temp (Front)  [O],AH (Guest)  [O],AH (Front) [O],AH (EPan) [O],Temp (WxStn) [O],AH (WxStn) [O]
10/31/2019,,,FAD704DWD,unknown,16.4,"0-8, 22-24",,,,,,,,,,,,,,,,,,,,,,,
11/2/2019,,,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
11/5/2019,,,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
11/23/2019,,,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
5/16/2020,22:00:00,2020-05-16 22:00:00,FAD704DWD,unknown,16.4,0-24,,,,,,,,,,,,,,,,,,,,,,,
5/23/2020,9:00:00,2020-05-23 09:00:00,FAD704DWD,unknown,16.4,0-9,,,,,,,,,,,,,,,,,,,,,,,
5/23/2020,23:20:00,2020-05-23 23:20:00,FAD704DWD,unknown,16.4,9-23:20,,,,,,,,,,,,,,,,,,,,,,,
5/29/2020,22:03:00,2020-05-29 22:03:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2020,9:30:00,2020-06-03 09:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2020,19:30:00,2020-06-05 19:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2020,9:16:00,2020-06-10 09:16:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2020,6:30:00,2020-06-13 06:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2020,18:30:00,2020-06-17 18:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2020,17:30:00,2020-06-19 17:30:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2020,10:09:00,2020-06-21 10:09:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2020,23:00:00,2020-06-24 23:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2020,22:10:00,2020-06-26 22:10:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2020,7:35:00,2020-06-30 07:35:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2020,21:55:00,2020-07-01 21:55:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2020,10:43:00,2020-07-04 10:43:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
